COOPID, YEAR, MONTH, DAY, PRECIPITATION, MAX TEMP, MIN TEMP, MEAN TEMP
86078,2020,1,1,0.00000,78.00000,52.00000, 65.00000
86078,2020,1,2,0.00000,74.00000,52.00000, 63.00000
86078,2020,1,3,0.00000,83.00000,52.00000, 67.50000
86078,2020,1,4,0.00000,83.00000,52.00000, 67.50000
86078,2020,1,5,0.11000,81.00000,54.00000, 67.50000
86078,2020,1,6,0.00000,69.00000,43.00000, 56.00000
86078,2020,1,7,0.00000,73.00000,44.00000, 58.50000
86078,2020,1,8,0.00000,75.00000,50.00000, 62.50000
86078,2020,1,9,0.00000,75.00000,54.00000, 64.50000
86078,2020,1,10,0.00000,78.00000,54.00000, 66.00000
86078,2020,1,11,0.00000,78.00000,65.00000, 71.50000
86078,2020,1,12,0.00000,86.00000,68.00000, 77.00000
86078,2020,1,13,0.00000,85.00000,67.00000, 76.00000
86078,2020,1,14,0.00000,81.00000,67.00000, 74.00000
86078,2020,1,15,-99.99000,-99.90000,-99.90000, -99.90000
86078,2020,1,16,-99.99000,-99.90000,-99.90000, -99.90000
86078,2020,1,17,0.00000,82.00000,59.00000, 70.50000
86078,2020,1,18,0.00000,81.00000,64.00000, 72.50000
86078,2020,1,19,0.00000,79.00000,60.00000, 69.50000
86078,2020,1,20,0.00000,80.00000,61.00000, 70.50000
86078,2020,1,21,0.00000,80.00000,45.00000, 62.50000
86078,2020,1,22,-99.99000,-99.90000,-99.90000, -99.90000
86078,2020,1,23,0.00000,67.00000,36.00000, 51.50000
86078,2020,1,24,0.00000,77.00000,36.00000, 56.50000
86078,2020,1,25,0.00000,78.00000,58.00000, 68.00000
86078,2020,1,26,0.00000,74.00000,45.00000, 59.50000
86078,2020,1,27,0.00000,74.00000,45.00000, 59.50000
86078,2020,1,28,0.00000,74.00000,56.00000, 65.00000
86078,2020,1,29,0.00000,76.00000,51.00000, 63.50000
86078,2020,1,30,0.60000,76.00000,52.00000, 64.00000
86078,2020,1,31,0.24000,73.00000,52.00000, 62.50000
86078,2020,2,1,1.60000,79.00000,56.00000, 67.50000
86078,2020,2,2,0.18000,68.00000,52.00000, 60.00000
86078,2020,2,3,0.00000,63.00000,44.00000, 53.50000
86078,2020,2,4,0.00000,74.00000,45.00000, 59.50000
86078,2020,2,5,0.00000,74.00000,51.00000, 62.50000
86078,2020,2,6,0.00000,80.00000,63.00000, 71.50000
86078,2020,2,7,0.40000,82.00000,62.00000, 72.00000
86078,2020,2,8,0.00000,82.00000,49.00000, 65.50000
86078,2020,2,9,0.00000,77.00000,49.00000, 63.00000
86078,2020,2,10,0.00000,79.00000,59.00000, 69.00000
86078,2020,2,11,0.00000,84.00000,62.00000, 73.00000
86078,2020,2,12,0.00000,84.00000,62.00000, 73.00000
86078,2020,2,13,0.00000,85.00000,66.00000, 75.50000
86078,2020,2,14,0.00000,85.00000,66.00000, 75.50000
86078,2020,2,15,0.00000,82.00000,62.00000, 72.00000
86078,2020,2,16,0.00000,82.00000,62.00000, 72.00000
86078,2020,2,17,-99.99000,-99.90000,-99.90000, -99.90000
86078,2020,2,18,0.00000,83.00000,65.00000, 74.00000
86078,2020,2,19,0.00000,86.00000,68.00000, 77.00000
86078,2020,2,20,0.00000,85.00000,69.00000, 77.00000
86078,2020,2,21,0.05000,84.00000,69.00000, 76.50000
86078,2020,2,22,0.10000,73.00000,48.00000, 60.50000
86078,2020,2,23,-99.99000,-99.90000,-99.90000, -99.90000
86078,2020,2,24,0.00000,79.00000,54.00000, 66.50000
86078,2020,2,25,0.00000,78.00000,57.00000, 67.50000
86078,2020,2,26,0.00000,82.00000,63.00000, 72.50000
86078,2020,2,27,0.00000,82.00000,50.00000, 66.00000
86078,2020,2,28,0.00000,-99.90000,39.00000, -99.90000
86078,2020,2,29,0.15000,-99.90000,39.00000, -99.90000
86078,2020,3,1,0.00000,69.00000,44.00000, 56.50000
86078,2020,3,2,0.00000,75.00000,46.00000, 60.50000
86078,2020,3,3,0.00000,79.00000,47.00000, 63.00000
